# step	pct_now	best_pct	e	ta_deg	a_km	raan_deg	inc_deg	aop_deg
0	17.932896	25.954493	0.38305337	144.067489	12769.560	0.000	33.869	270.000
1	20.555341	25.954493	0.26735727	113.201035	12769.560	0.000	33.869	270.000
2	24.643270	25.954493	0.01668237	80.128357	12769.560	0.000	33.869	270.000
3	18.010027	25.954493	0.38305337	323.723465	12769.560	0.000	33.869	270.000
4	18.010027	25.954493	0.38305337	323.723465	12769.560	0.000	33.869	270.000
5	18.010027	25.954493	0.38305337	323.752389	12769.560	0.000	33.869	270.000
6	18.010027	25.954493	0.38305337	323.790954	12769.560	0.000	33.869	270.000
7	17.971462	25.954493	0.38305337	118.027761	12769.560	0.000	33.869	270.000
8	19.321250	25.954493	0.32520532	117.998837	12769.560	0.000	33.869	270.000
9	21.866564	25.954493	0.20950921	117.940989	12769.560	0.000	33.869	270.000
10	17.894331	25.954493	0.38305337	118.056685	12769.560	0.000	33.869	270.000
11	17.971462	25.954493	0.38305337	80.667885	12769.560	0.000	33.869	270.000
12	17.971462	25.954493	0.38305337	80.706450	12769.560	0.000	33.869	270.000
13	18.511377	25.954493	0.36377069	156.896826	12769.560	0.000	33.869	270.000
14	18.241419	25.954493	0.38305337	156.954674	12769.560	0.000	33.869	270.000
15	18.202854	25.954493	0.38305337	156.973957	12769.560	0.000	33.869	270.000
16	18.202854	25.954493	0.38305337	156.993239	12769.560	0.000	33.869	270.000
17	18.010027	25.954493	0.34448800	333.283318	12769.560	0.000	33.869	270.000
18	17.855766	25.954493	0.32520532	333.273676	12769.560	0.000	33.869	270.000
19	17.855766	25.954493	0.32520532	333.273676	12769.560	0.000	33.869	270.000
20	17.855766	25.954493	0.32520532	333.273676	12769.560	0.000	33.869	270.000
21	23.833398	25.954493	0.00000000	292.059731	12769.560	0.000	33.869	270.000
22	23.833398	25.954493	0.00000000	292.059731	12769.560	0.000	33.869	270.000
23	17.778635	25.954493	0.38305337	292.107937	12769.560	0.000	33.869	270.000
24	23.409179	25.954493	0.00000000	217.790195	12769.560	0.000	33.869	270.000
25	17.932896	25.954493	0.38305337	45.078405	12769.560	0.000	33.869	270.000
26	18.202854	25.954493	0.38305337	179.947968	12769.560	0.000	33.869	270.000
27	18.202854	25.954493	0.38305337	179.947968	12769.560	0.000	33.869	270.000
28	18.241419	25.954493	0.38305337	179.957609	12769.560	0.000	33.869	270.000
29	18.241419	25.954493	0.38305337	179.976892	12769.560	0.000	33.869	270.000
30	20.169688	25.954493	0.28663995	179.928685	12769.560	0.000	33.869	270.000
31	20.169688	25.954493	0.28663995	179.928685	12769.560	0.000	33.869	270.000
32	17.894331	25.954493	0.38305337	69.128213	12769.560	0.000	33.869	270.000
33	17.894331	25.954493	0.38305337	69.157137	12769.560	0.000	33.869	270.000
34	17.894331	25.954493	0.38305337	69.176420	12769.560	0.000	33.869	270.000
35	17.354416	25.954493	0.34448800	274.582605	12769.560	0.000	33.869	270.000
36	23.949094	25.954493	0.00000000	274.524757	12769.560	0.000	33.869	270.000
37	17.817200	25.954493	0.38305337	274.544040	12769.560	0.000	33.869	270.000
38	15.464713	25.954493	0.30592263	306.470524	12769.560	0.000	33.869	270.000
39	17.932896	25.954493	0.38305337	306.586220	12769.560	0.000	33.869	270.000
40	18.087158	25.954493	0.36377069	69.503126	12769.560	0.000	33.869	270.000
41	17.971462	25.954493	0.38305337	69.551333	12769.560	0.000	33.869	270.000
42	18.704204	25.954493	0.34448800	43.888367	12769.560	0.000	33.869	270.000
43	20.092557	25.954493	0.24807458	43.840160	12769.560	0.000	33.869	270.000
44	19.089857	25.954493	0.17094385	229.763130	12769.560	0.000	33.869	270.000
45	21.442345	25.954493	0.22879190	116.104284	12769.560	0.000	33.869	270.000
46	18.125723	25.954493	0.38305337	185.105362	12769.560	0.000	33.869	270.000
47	18.125723	25.954493	0.38305337	185.105362	12769.560	0.000	33.869	270.000
48	17.855766	25.954493	0.38305337	71.592038	12769.560	0.000	33.869	270.000
49	17.392981	25.954493	0.34448800	291.807888	12769.560	0.000	33.869	270.000
50	17.817200	25.954493	0.38305337	85.398515	12769.560	0.000	33.869	270.000
51	17.971462	25.954493	0.38305337	109.489969	12769.560	0.000	33.869	270.000
52	18.125723	25.954493	0.38305337	206.627390	12769.560	0.000	33.869	270.000
53	18.125723	25.954493	0.38305337	224.939039	12769.560	0.000	33.869	270.000
54	18.511377	25.954493	0.34448800	224.919756	12769.560	0.000	33.869	270.000
55	23.602005	25.954493	0.00000000	231.377993	12769.560	0.000	33.869	270.000
56	23.602005	25.954493	0.00000000	231.368351	12769.560	0.000	33.869	270.000
57	18.164288	25.954493	0.38305337	231.397275	12769.560	0.000	33.869	270.000
58	17.894331	25.954493	0.38305337	280.480057	12769.560	0.000	33.869	270.000
59	17.894331	25.954493	0.38305337	280.508981	12769.560	0.000	33.869	270.000
60	23.871963	25.954493	0.00000000	304.713574	12769.560	0.000	33.869	270.000
61	23.910528	25.954493	0.00000000	304.684650	12769.560	0.000	33.869	270.000
