# step	pct_now	best_pct	rp_alt_km	ra_alt_km	ta_deg	raan_deg	inc_deg	aop_deg
0	31.242768	31.265911	7499.185142	7499.814858	359.768572	0.231428	1.000000	90.231428
1	31.265911	31.265911	7498.814858	7500.000000	0.231428	0.694284	1.000000	90.694284
2	31.335339	31.335339	7497.981717	7499.166860	359.190002	1.735709	1.000000	91.735709
3	31.265911	31.335339	7498.537144	7498.611433	359.884286	2.429993	1.000000	92.429993
4	31.265911	31.335339	7498.259431	7498.333719	359.537144	2.082851	1.000000	92.082851
5	31.312196	31.335339	7497.296575	7499.296575	359.884286	2.429993	1.000000	92.429993
6	31.265911	31.335339	7497.204004	7499.389146	0.000000	2.314279	1.000000	92.314279
7	31.312196	31.335339	7496.926290	7499.666860	359.652858	2.661421	1.000000	92.661421
8	31.312196	31.335339	7496.556006	7500.000000	0.115714	2.198565	1.000000	92.198565
9	31.358482	31.358482	7496.000579	7499.444573	0.809998	1.504281	1.000000	91.504281
10	31.381625	31.381625	7495.630294	7499.814858	1.272854	1.967137	1.000000	91.967137
11	31.335339	31.381625	7495.167438	7499.352002	0.694284	2.545707	1.000000	92.545707
12	31.381625	31.381625	7494.797153	7498.981717	0.231428	2.082851	1.000000	92.082851
13	31.381625	31.381625	7494.612011	7498.796575	0.000000	2.314279	1.000000	92.314279
14	31.289053	31.381625	7494.056584	7499.352002	359.305716	3.008563	1.000000	93.008563
15	31.289053	31.381625	7494.056584	7499.352002	359.305716	3.008563	1.000000	93.008563
16	31.358482	31.381625	7493.408586	7498.704004	358.495719	3.818561	1.000000	93.818561
17	31.289053	31.381625	7493.593728	7498.518861	358.264291	4.049988	1.000000	94.049988
18	31.335339	31.381625	7493.686299	7498.426290	358.380005	3.934274	1.000000	93.934274
19	31.265911	31.381625	7493.778871	7498.333719	358.495719	4.049988	1.000000	94.049988
20	31.289053	31.381625	7493.686299	7498.426290	358.611433	3.934274	1.000000	93.934274
21	31.427910	31.427910	7493.501157	7498.611433	358.380005	3.702847	1.000000	93.702847
22	31.427910	31.427910	7493.871442	7498.241148	358.842860	3.239991	1.000000	93.239991
23	31.265911	31.427910	7493.593728	7497.963434	359.190002	2.892849	1.000000	92.892849
24	31.265911	31.427910	7493.316015	7497.685721	359.537144	2.545707	1.000000	92.545707
25	31.289053	31.427910	7493.408586	7497.593150	359.421430	2.429993	1.000000	92.429993
26	31.242768	31.427910	7492.945730	7497.130294	358.842860	1.851423	1.000000	91.851423
27	31.335339	31.427910	7492.482874	7496.667438	359.421430	2.429993	1.000000	92.429993
28	31.335339	31.427910	7492.205161	7496.389725	359.768572	2.082851	1.000000	92.082851
29	31.289053	31.427910	7491.742305	7495.926869	359.190002	2.661421	1.000000	92.661421
30	31.451053	31.451053	7491.094307	7495.278871	0.000000	3.471419	1.000000	93.471419
31	31.451053	31.451053	7491.094307	7495.278871	0.000000	3.471419	1.000000	93.471419
32	31.451053	31.451053	7491.001736	7495.371442	0.115714	3.587133	1.000000	93.587133
33	31.451053	31.451053	7490.538880	7495.834298	0.694284	3.008563	1.000000	93.008563
34	31.381625	31.451053	7490.168595	7495.464013	1.157140	3.471419	1.000000	93.471419
35	31.474196	31.474196	7490.631451	7495.001157	0.578570	4.049988	1.000000	94.049988
36	31.451053	31.474196	7490.168595	7495.464013	0.000000	3.471419	1.000000	93.471419
37	31.451053	31.474196	7490.261166	7495.371442	0.115714	3.355705	1.000000	93.355705
38	31.451053	31.474196	7490.261166	7495.371442	0.115714	3.355705	1.000000	93.355705
39	31.451053	31.474196	7490.261166	7495.371442	0.115714	3.355705	1.000000	93.355705
40	31.404767	31.474196	7489.613168	7494.723444	0.925712	4.165702	1.000000	94.165702
41	31.451053	31.474196	7489.798311	7494.538301	0.694284	3.934274	1.000000	93.934274
42	31.427910	31.474196	7489.705739	7494.630872	0.809998	3.818561	1.000000	93.818561
43	31.381625	31.474196	7489.520597	7494.816015	0.578570	3.587133	1.000000	93.587133
44	31.427910	31.474196	7489.428026	7494.908586	0.694284	3.471419	1.000000	93.471419
45	31.381625	31.474196	7489.520597	7494.816015	0.809998	3.355705	1.000000	93.355705
46	31.381625	31.474196	7489.242884	7494.538301	0.462856	3.702847	1.000000	93.702847
47	31.427910	31.474196	7488.872599	7494.908586	0.925712	4.165702	1.000000	94.165702
